timestamp,portfolio_value,cash
2026-07-20T13:36:49.252640,1000488.41,799833.68
2026-07-20T13:36:59.674332,1000488.41,799833.68
2026-07-20T13:37:10.089647,1000488.41,799833.68
2026-07-20T13:37:20.504046,1000488.41,799833.68
2026-07-20T13:37:30.934257,1000488.41,799833.68
2026-07-20T13:37:41.346097,1000488.41,799833.68
2026-07-20T13:37:51.775515,1000488.41,799833.68
2026-07-20T13:38:02.195869,1000488.41,799833.68
2026-07-20T13:38:12.633371,1000488.41,799833.68
2026-07-20T13:38:23.061435,1000488.41,799833.68
2026-07-20T13:38:33.478230,1000488.41,799833.68
2026-07-20T13:38:43.899099,1000488.41,799833.68
2026-07-20T13:38:54.355181,1000488.41,799833.68
2026-07-20T13:39:04.774529,1000748.82,799833.68
2026-07-20T13:39:15.186528,1000748.82,799833.68
2026-07-20T13:39:25.605038,1000748.82,799833.68
2026-07-20T13:39:52.173709,1000748.82,799745.12
2026-07-20T13:40:02.601515,1000747.09,799745.11
2026-07-20T13:40:13.031323,1000747.09,799745.11
2026-07-20T13:40:23.471152,1000747.09,799745.11
2026-07-20T13:40:33.916642,1000747.09,799745.11
2026-07-20T13:40:44.345363,1000747.09,799745.11
2026-07-20T13:40:54.776119,1000739.68,799745.11
2026-07-20T13:41:05.204364,1000655.61,799745.11
2026-07-20T13:41:15.635848,1000655.61,799745.11
2026-07-20T13:41:26.068824,1000655.61,799745.11
2026-07-20T13:41:36.494019,1000655.4,799745.11
2026-07-20T13:41:46.934634,1000655.4,799745.11
2026-07-20T13:41:57.358265,1000603.28,799745.12
2026-07-20T13:42:07.817617,1000603.28,799745.12
2026-07-20T13:42:18.242698,1000603.28,799745.12
2026-07-20T13:42:28.666142,1000603.28,799745.12
2026-07-20T13:42:39.119565,1000603.06,799745.11
2026-07-20T13:42:49.544889,1000575.26,799745.11
2026-07-20T13:42:59.960092,1000567.4,799745.11
2026-07-20T13:43:10.375164,1000567.4,799745.11
2026-07-20T13:43:20.796468,1000567.4,799745.11
2026-07-20T13:43:31.228693,1000567.4,799745.11
2026-07-20T13:43:41.650422,1000567.4,799745.11
2026-07-20T13:43:52.067676,1000567.4,799745.11
