timestamp,portfolio_value,cash
2026-07-20T12:15:44.259388,99978.94,89994.68
2026-07-20T12:15:54.620509,99978.94,89994.68
2026-07-20T12:16:04.952382,99978.94,89994.68
2026-07-20T12:16:15.277680,99978.94,89994.68
2026-07-20T12:16:25.627345,99978.94,89994.68
2026-07-20T12:16:36.150542,99978.94,89994.68
2026-07-20T12:16:46.472589,99978.94,89994.68
2026-07-20T12:16:56.783111,99978.94,89994.68
2026-07-20T12:17:07.096599,99978.94,89994.68
2026-07-20T12:17:17.419756,99978.94,89994.68
2026-07-20T12:17:27.733334,99978.94,89994.68
2026-07-20T12:17:38.040396,99978.94,89994.68
2026-07-20T12:17:48.362820,99978.94,89994.68
2026-07-20T12:17:58.678266,99978.94,89994.68
2026-07-20T12:18:08.992264,99978.94,89994.68
2026-07-20T12:18:19.399569,99978.94,89994.68
2026-07-20T12:18:29.726517,99978.94,89994.68
2026-07-20T12:18:40.038811,99978.94,89994.68
2026-07-20T12:18:50.373457,99978.94,89994.68
2026-07-20T12:19:00.694568,99978.94,89994.68
2026-07-20T12:19:11.069096,99978.94,89994.68
2026-07-20T12:19:21.466701,99978.94,89994.68
2026-07-20T12:19:31.833526,99978.94,89994.68
2026-07-20T12:19:42.176028,99978.94,89994.68
2026-07-20T12:19:52.527581,99978.94,89994.68
2026-07-20T12:20:02.878325,99974.59,89994.68
2026-07-20T12:20:13.246783,99974.59,89994.68
2026-07-20T12:20:23.599400,99974.59,89994.68
2026-07-20T12:20:33.945021,99974.59,89994.68
2026-07-20T12:20:44.303283,99974.59,89994.68
2026-07-20T12:20:54.666371,99974.59,89994.68
2026-07-20T12:21:05.033839,99974.59,89994.68
2026-07-20T12:21:15.407377,99974.59,89994.68
2026-07-20T12:21:25.749974,99974.59,89994.68
2026-07-20T12:22:20.724471,99974.59,89994.68
2026-07-20T12:22:31.070700,99974.59,89994.68
2026-07-20T12:22:41.377532,99974.59,89994.68
2026-07-20T12:22:51.698186,99974.59,89994.68
2026-07-20T12:23:02.042624,99974.59,89994.68
2026-07-20T12:23:12.376576,99974.59,89994.68
2026-07-20T12:23:22.754747,99974.59,89994.68
2026-07-20T12:23:33.071049,99974.59,89994.68
2026-07-20T12:23:43.460522,99974.59,89994.68
2026-07-20T12:23:54.037308,99974.59,89994.68
2026-07-20T12:24:04.400088,99974.59,89994.68
2026-07-20T12:24:14.739371,99974.59,89994.68
2026-07-20T12:24:25.087758,99974.59,89994.68
2026-07-20T12:24:35.452397,99974.59,89994.68
2026-07-20T12:24:45.853031,99974.59,89994.68
2026-07-20T12:24:56.174320,99974.59,89994.68
2026-07-20T12:25:06.579370,99974.59,89994.68
2026-07-20T12:25:16.943846,99974.59,89994.68
2026-07-20T12:25:27.284415,99974.59,89994.68
2026-07-20T12:25:37.634478,99974.59,89994.68
2026-07-20T12:25:47.990311,99974.59,89994.68
2026-07-20T12:25:58.300845,99974.59,89994.68
2026-07-20T12:26:08.612977,99974.59,89994.68
2026-07-20T12:26:18.927716,99974.59,89994.68
2026-07-20T12:26:29.246169,99974.59,89994.68
2026-07-20T12:26:39.594990,99974.59,89994.68
2026-07-20T12:26:49.912848,99974.59,89994.68
2026-07-20T12:27:00.224807,99974.59,89994.68
2026-07-20T12:27:10.541322,99974.59,89994.68
2026-07-20T12:27:20.858110,99974.59,89994.68
2026-07-20T12:27:31.169250,99974.59,89994.68
2026-07-20T12:27:41.483169,99974.59,89994.68
2026-07-20T12:27:51.798754,99974.59,89994.68
2026-07-20T12:28:02.114129,99974.59,89994.68
2026-07-20T12:28:12.462518,99974.59,89994.68
2026-07-20T12:28:22.798007,99974.59,89994.68
2026-07-20T12:28:33.115727,99974.59,89994.68
2026-07-20T12:28:43.434323,99974.59,89994.68
2026-07-20T12:28:53.778259,99974.59,89994.68
2026-07-20T12:29:04.093948,99974.59,89994.68
2026-07-20T12:29:14.516828,99974.59,89994.68
2026-07-20T12:29:24.909375,99974.59,89994.68
2026-07-20T12:29:35.307524,99974.59,89994.68
2026-07-20T12:29:45.774551,99974.59,89994.68
2026-07-20T12:29:56.349630,99974.59,89994.68
2026-07-20T12:30:06.676043,99974.59,89994.68
2026-07-20T12:30:17.044060,99974.59,89994.68
2026-07-20T12:30:27.670876,99974.59,89994.68
2026-07-20T12:30:38.003522,99974.59,89994.68
2026-07-20T12:30:48.328335,99974.59,89994.68
2026-07-20T12:30:58.653696,99974.59,89994.68
2026-07-20T12:31:08.961792,99974.59,89994.68
2026-07-20T12:31:19.280523,99974.59,89994.68
2026-07-20T12:33:50.230322,99984.67,89994.68
2026-07-20T12:34:29.344104,99984.67,89994.68
2026-07-20T12:34:39.702024,99984.67,89994.68
2026-07-20T12:34:50.071550,99984.67,89994.68
2026-07-20T12:35:00.423882,99984.67,89994.68
2026-07-20T12:35:10.786697,99984.67,89994.68
2026-07-20T12:35:21.126172,99984.67,89994.68
2026-07-20T12:35:31.487833,99984.67,89994.68
2026-07-20T12:35:41.817968,99984.67,89994.68
2026-07-20T12:35:52.133170,99984.67,89994.68
2026-07-20T12:36:02.439859,99984.67,89994.68
2026-07-20T12:36:12.752319,99979.36,89994.68
2026-07-20T12:36:23.118975,99979.36,89994.68
2026-07-20T12:36:33.674845,99979.36,89994.68
2026-07-20T12:36:44.048191,99979.36,89994.68
2026-07-20T12:36:54.384803,99979.36,89994.68
2026-07-20T12:37:04.778974,99979.36,89994.68
2026-07-20T12:37:15.114390,99979.36,89994.68
2026-07-20T12:37:25.481978,99979.36,89994.68
2026-07-20T12:37:35.892156,99979.36,89994.68
2026-07-20T12:37:46.211141,99979.36,89994.68
2026-07-20T12:37:56.530555,99979.36,89994.68
2026-07-20T12:38:06.843931,99979.36,89994.68
2026-07-20T12:38:17.153083,99979.36,89994.68
2026-07-20T12:38:27.460993,99979.36,89994.68
2026-07-20T12:38:37.781972,99979.36,89994.68
2026-07-20T12:38:48.186723,99979.36,89994.68
2026-07-20T12:38:58.521165,99979.36,89994.68
2026-07-20T12:39:17.782857,99979.36,89994.68
2026-07-20T12:39:46.770382,99979.36,89994.68
2026-07-20T12:39:57.089362,99979.36,89994.68
2026-07-20T12:40:07.436074,99979.36,89994.68
2026-07-20T12:40:17.762309,99979.36,89994.68
2026-07-20T12:40:28.092351,99979.36,89994.68
2026-07-20T12:40:38.436093,99979.36,89994.68
2026-07-20T12:40:48.752566,99979.36,89994.68
2026-07-20T12:40:59.077650,99979.36,89994.68
2026-07-20T12:41:09.394571,99979.36,89994.68
2026-07-20T12:41:19.715647,99979.36,89994.68
2026-07-20T12:41:30.073016,99979.36,89994.68
2026-07-20T12:41:40.405222,99979.36,89994.68
2026-07-20T12:41:50.732852,99979.36,89994.68
2026-07-20T12:42:01.074727,99979.36,89994.68
2026-07-20T12:42:11.406324,99979.36,89994.68
2026-07-20T12:42:21.727502,99979.36,89994.68
2026-07-20T12:42:32.058152,99979.36,89994.68
2026-07-20T12:42:42.397000,99979.36,89994.68
